    X    ;0,0,0,0,0,0,0,0,0
O   X X  ;0,0,2,0,0,0,0,0,1
         ;0,0,0,0,126,0,0,0,1
O   X    ;0,1,1,1,0,1,1,0,1
O   X XO ;0,0,1,1,0,1,0,0,1
 O  X    ;1,0,1,1,0,1,0,1,1
 OX X O  ;1,0,0,0,0,1,0,1,1
XOXOX O  ;0,0,0,0,0,0,0,1,1
    XO   ;1,1,0,1,0,0,1,1,1
  O XO  X;0,1,0,1,0,0,1,1,0
OXO XO  X;0,0,0,1,0,0,0,1,0
    O X  ;0,0,0,20,0,0,0,0,0
   OOXX  ;0,0,0,0,0,0,0,20,1
   OOXXOX;1,7,1,0,0,0,0,0,0
   XX  O ;1,1,1,0,0,1,0,0,1
    O   X;0,0,0,1,0,0,21,1,0
  O O X X;1,1,0,1,0,0,0,1,0
    OXO X;4,1,1,1,0,0,0,1,0
O  XOXO X;0,1,4,0,0,0,0,1,0
    X O X;1,0,1,1,0,1,0,1,0
 OX X O X;0,0,0,0,0,1,0,1,0
    O  X ;0,0,0,27,0,0,51,0,1
   OOX X ;25,0,0,0,0,0,5,0,1
OX OOX X ;0,0,1,0,0,0,7,0,1
   OX X  ;0,0,0,0,0,0,0,0,0
       X ;1,1,0,0,0,2,0,0,1
  O  X X ;1,1,0,1,0,0,4,0,1
  O OX XX;0,1,0,1,0,0,1,0,0
      OX ;1,1,1,1,1,0,0,0,1
    XOOX ;0,1,1,1,0,0,0,0,1
  OOOXX X;2,0,0,0,0,0,0,1,0
    OX   ;1,4,3,0,0,0,0,1,1
   XOXO  ;1,0,1,0,0,0,0,1,1
 OXXOXO  ;0,0,0,0,0,0,0,1,1
O   O  XX;0,1,0,1,0,1,1,0,0
  O X    ;1,0,0,1,0,1,1,1,1
XOO X    ;0,0,0,1,0,1,0,1,1
    X  O ;1,1,0,1,0,1,1,0,1
  O X  OX;1,1,0,0,0,1,1,0,0
O  OOX XX;0,0,1,0,0,0,1,0,0
  X O    ;2,1,0,0,0,8,0,0,1
  XXOO   ;8,1,0,0,0,0,1,1,1
O XXOOX  ;0,4,0,0,0,0,0,1,1
OOXXOOXX ;0,0,0,0,0,0,0,0,4
    XO  X;0,0,0,0,0,0,0,0,0
  OOOX XX;1,0,0,0,0,0,1,0,0
  O O XX ;1,1,0,0,0,0,0,0,1
   OO XX ;0,0,0,0,0,7,0,0,1
   XOO  X;1,0,1,0,0,0,1,1,0
 O XOOX X;0,0,1,0,0,0,0,1,0
 O  O  XX;0,0,1,0,0,0,1,0,0
   XOOX  ;0,1,1,0,0,0,0,1,1
O  XOOX X;0,0,0,0,0,0,0,1,0
